Tema,Tarefas
Teorema de Euler,"Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias."
Energia Nuclear,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Cria um website simples que explique {tema} para iniciantes.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Escreve um poema ou música sobre {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.
Matemática na Música,Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um website simples que explique {tema} para iniciantes.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
História da Medicina,Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
Geopolítica e Conflitos Mundiais,Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Elabora um workshop educativo prático sobre {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.
Expansão Marítima Portuguesa,Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Pesquisa e resume um artigo científico sobre {tema}.
Física de Partículas,Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
Matemática na Música,Escreve um argumento defendendo e outro contra {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Escreve um poema ou música sobre {tema}.
Reações Químicas,"Pesquisa e resume um artigo científico sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Cria um website simples que explique {tema} para iniciantes."
Matemática na Música,Encontra e analisa um caso real que envolva {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
Mecânica Quântica,Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.
Programação em Python,"Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Encontra e analisa um caso real que envolva {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria um enigma ou puzzle matemático baseado em {tema}."
Política Internacional,Pesquisa e resume um artigo científico sobre {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Escreve um código de programação simples que ilustre um conceito de {tema}.
Teorema de Euler,"Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais."
Grandes Descobrimentos,"Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais."
Reações Químicas,Cria um website simples que explique {tema} para iniciantes.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.
Economia Sustentável,Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Pesquisa e resume um artigo científico sobre {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.
Reações Químicas,Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Cria um website simples que explique {tema} para iniciantes.
História da Medicina,Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.
Grandes Descobrimentos,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.
Realidade Virtual e Aumentada,Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Escreve um poema ou música sobre {tema}.
Blockchain e Criptomoedas,Escreve um argumento defendendo e outro contra {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.
Cálculo Diferencial,"Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Escreve um argumento defendendo e outro contra {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Cálculo Diferencial,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Elabora um workshop educativo prático sobre {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
O Sistema Solar,Elabora um workshop educativo prático sobre {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Escreve um poema ou música sobre {tema}.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.
Neurociência,Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.
Energia Nuclear,Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Elabora um workshop educativo prático sobre {tema}.; Escreve um argumento defendendo e outro contra {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
